time_s,phase,joint1_position_rad,joint1_velocity_radps,joint1_target_rad,joint2_position_rad,joint2_velocity_radps,joint2_target_rad,joint3_position_rad,joint3_velocity_radps,joint3_target_rad,joint4_position_rad,joint4_velocity_radps,joint4_target_rad,joint5_position_rad,joint5_velocity_radps,joint5_target_rad,joint6_position_rad,joint6_velocity_radps,joint6_target_rad,tcp_x_m,tcp_y_m,tcp_z_m,contact_count,max_penetration_m
0.001,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.002,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.003,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.004,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.005,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.006,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.007,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.008,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.009000000000000001,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.010000000000000002,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.011000000000000003,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.012000000000000004,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.013000000000000005,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.014000000000000005,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.015000000000000006,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.016000000000000007,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.017000000000000008,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.01800000000000001,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.01900000000000001,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.02000000000000001,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.02100000000000001,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.022000000000000013,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.023000000000000013,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.024000000000000014,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.025000000000000015,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.026000000000000016,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.027000000000000017,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.028000000000000018,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.02900000000000002,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.03000000000000002,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.03100000000000002,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.03200000000000002,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.03300000000000002,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.03400000000000002,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.035000000000000024,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.036000000000000025,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.037000000000000026,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.03800000000000003,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.03900000000000003,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.04000000000000003,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.04100000000000003,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.04200000000000003,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.04300000000000003,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
0.04400000000000003,home_hold,0.0,0.0,0.0,0.8,0.0,0.8,-0.7,0.0,-0.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.28745301179489974,-1.7665455959673852e-06,0.30470912230380476,0,0.0
